Barrio,latitud,longitud,Cantidad
CHACARITA,-34.587004,-58.453086,34
PATERNAL,-34.597439,-58.469508,11
VILLA CRESPO,-34.5982113,-58.44166376,12
VILLA DEL PARQUE,-34.60460629,-58.49073109,20
ALMAGRO,-34.60833311,-58.42219747,7
CABALLITO,-34.61707881,-58.44387207,12
VILLA SANTA RITA,-34.61609539,-58.4829459,4
MONTE CASTRO,-34.61868174,-58.50627429,17
VILLA REAL,-34.6190405,-58.5252215,21
FLORES,-34.63408732,-58.46104872,9
FLORESTA,-34.62732331,-58.48415131,13
CONSTITUCION,-34.62479913,-58.38406415,7
SAN CRISTOBAL,-34.6233389,-58.40168513,12
BOEDO,-34.6296087,-58.41819791,34
VELES SARSFIELD,-34.63098177,-58.49296251,43
VILLA LURO,-34.63687861,-58.50209417,21
PARQUE PATRICIOS,-34.63762324,-58.4002,20
MATADEROS,-34.65680302,-58.50159508,23
VILLA LUGANO,-34.67411839,-58.47670382,12
SAN TELMO,-34.62090004,-58.37103057,3
SAAVEDRA,-34.55222725,-58.48847333,4
COGHLAN,-34.56050912,-58.47541117,11
VILLA URQUIZA,-34.57132388,-58.4872878,19
COLEGIALES,-34.57408426,-58.45083185,22
BALVANERA,-34.60804978,-58.40221529,32
VILLA GRAL. MITRE,-34.6097657,-58.46914179,21
PARQUE CHAS,-34.58509123,-58.47886241,1
AGRONOMIA,-34.59196151,-58.48907588,5
VILLA ORTUZAR,-34.58055119,-58.46765778,22
BARRACAS,-34.64381692,-58.38079272,15
PARQUE AVELLANEDA,-34.64944795,-58.4759406,16
PARQUE CHACABUCO,-34.63632667,-58.43678936,12
NUEVA POMPEYA,-34.64988207,-58.42055333,19
PALERMO,-34.57399373,-58.4247927,48
VILLA RIACHUELO,-34.69742615,-58.46271861,24
VILLA SOLDATI,-34.66386243,-58.44533479,21
VILLA PUEYRREDON,-34.58228534,-58.50428137,11
VILLA DEVOTO,-34.5996272,-58.51503527,33
LINIERS,-34.64300689,-58.51962243,31
VERSALLES,-34.62941938,-58.52285755,21
PUERTO MADERO,-34.61150321,-58.35432896,40
MONSERRAT,-34.61291158,-58.37878429,21
SAN NICOLAS,-34.6034976,-58.37887524,23
BELGRANO,-34.55624607,-58.45130121,43
RECOLETA,-34.58666367,-58.3940256,56
RETIRO,-34.59063407,-58.3772175,21
NUÑEZ,-34.54167566,-58.46169559,12
LA BOCA,-34.63391491,-58.36066561,13
